2026-05-19 23:47:05 startup archives unpack
2026-05-19 23:47:05 install netbase:all <none> 6.5
2026-05-19 23:47:05 status half-installed netbase:all 6.5
2026-05-19 23:47:05 status unpacked netbase:all 6.5
2026-05-19 23:47:05 install openssl:arm64 <none> 3.5.6-1~deb13u1
2026-05-19 23:47:05 status half-installed openssl:arm64 3.5.6-1~deb13u1
2026-05-19 23:47:05 status unpacked openssl:arm64 3.5.6-1~deb13u1
2026-05-19 23:47:05 install ca-certificates:all <none> 20250419
2026-05-19 23:47:05 status half-installed ca-certificates:all 20250419
2026-05-19 23:47:05 status unpacked ca-certificates:all 20250419
2026-05-19 23:47:06 startup packages configure
2026-05-19 23:47:06 configure netbase:all 6.5 <none>
2026-05-19 23:47:06 status unpacked netbase:all 6.5
2026-05-19 23:47:06 status half-configured netbase:all 6.5
2026-05-19 23:47:06 status installed netbase:all 6.5
2026-05-19 23:47:06 configure openssl:arm64 3.5.6-1~deb13u1 <none>
2026-05-19 23:47:06 status unpacked openssl:arm64 3.5.6-1~deb13u1
2026-05-19 23:47:06 status half-configured openssl:arm64 3.5.6-1~deb13u1
2026-05-19 23:47:06 status installed openssl:arm64 3.5.6-1~deb13u1
2026-05-19 23:47:06 configure ca-certificates:all 20250419 <none>
2026-05-19 23:47:06 status unpacked ca-certificates:all 20250419
2026-05-19 23:47:06 status half-configured ca-certificates:all 20250419
2026-05-19 23:47:07 status installed ca-certificates:all 20250419
2026-05-19 23:47:07 status triggers-pending ca-certificates:all 20250419
2026-05-19 23:47:07 trigproc ca-certificates:all 20250419 <none>
2026-05-19 23:47:07 status half-configured ca-certificates:all 20250419
2026-05-19 23:47:07 status installed ca-certificates:all 20250419
2026-05-19 23:47:14 startup archives unpack
2026-05-19 23:47:14 install libexpat1:arm64 <none> 2.7.1-2
2026-05-19 23:47:14 status triggers-pending libc-bin:arm64 2.41-12+deb13u3
2026-05-19 23:47:14 status half-installed libexpat1:arm64 2.7.1-2
2026-05-19 23:47:14 status unpacked libexpat1:arm64 2.7.1-2
2026-05-19 23:47:14 install adduser:all <none> 3.152
2026-05-19 23:47:14 status half-installed adduser:all 3.152
2026-05-19 23:47:14 status unpacked adduser:all 3.152
2026-05-19 23:47:14 startup packages configure
2026-05-19 23:47:14 configure adduser:all 3.152 <none>
2026-05-19 23:47:14 status unpacked adduser:all 3.152
2026-05-19 23:47:14 status half-configured adduser:all 3.152
2026-05-19 23:47:14 status installed adduser:all 3.152
2026-05-19 23:47:14 startup archives unpack
2026-05-19 23:47:14 install readline-common:all <none> 8.2-6
2026-05-19 23:47:14 status half-installed readline-common:all 8.2-6
2026-05-19 23:47:14 status unpacked readline-common:all 8.2-6
2026-05-19 23:47:14 install bzip2:arm64 <none> 1.0.8-6
2026-05-19 23:47:14 status half-installed bzip2:arm64 1.0.8-6
2026-05-19 23:47:14 status unpacked bzip2:arm64 1.0.8-6
2026-05-19 23:47:14 install perl-modules-5.40:all <none> 5.40.1-6
2026-05-19 23:47:14 status half-installed perl-modules-5.40:all 5.40.1-6
2026-05-19 23:47:14 status unpacked perl-modules-5.40:all 5.40.1-6
2026-05-19 23:47:14 install libgdbm6t64:arm64 <none> 1.24-2
2026-05-19 23:47:14 status half-installed libgdbm6t64:arm64 1.24-2
2026-05-19 23:47:14 status unpacked libgdbm6t64:arm64 1.24-2
2026-05-19 23:47:14 install libgdbm-compat4t64:arm64 <none> 1.24-2
2026-05-19 23:47:14 status half-installed libgdbm-compat4t64:arm64 1.24-2
2026-05-19 23:47:14 status unpacked libgdbm-compat4t64:arm64 1.24-2
2026-05-19 23:47:14 install libperl5.40:arm64 <none> 5.40.1-6
2026-05-19 23:47:14 status half-installed libperl5.40:arm64 5.40.1-6
2026-05-19 23:47:15 status unpacked libperl5.40:arm64 5.40.1-6
2026-05-19 23:47:15 install perl:arm64 <none> 5.40.1-6
2026-05-19 23:47:15 status half-installed perl:arm64 5.40.1-6
2026-05-19 23:47:15 status unpacked perl:arm64 5.40.1-6
2026-05-19 23:47:15 install libunistring5:arm64 <none> 1.3-2
2026-05-19 23:47:15 status half-installed libunistring5:arm64 1.3-2
2026-05-19 23:47:15 status unpacked libunistring5:arm64 1.3-2
2026-05-19 23:47:15 install libidn2-0:arm64 <none> 2.3.8-2
2026-05-19 23:47:15 status half-installed libidn2-0:arm64 2.3.8-2
2026-05-19 23:47:15 status unpacked libidn2-0:arm64 2.3.8-2
2026-05-19 23:47:15 install libffi8:arm64 <none> 3.4.8-2
2026-05-19 23:47:15 status half-installed libffi8:arm64 3.4.8-2
2026-05-19 23:47:15 status unpacked libffi8:arm64 3.4.8-2
2026-05-19 23:47:15 install libp11-kit0:arm64 <none> 0.25.5-3
2026-05-19 23:47:15 status half-installed libp11-kit0:arm64 0.25.5-3
2026-05-19 23:47:15 status unpacked libp11-kit0:arm64 0.25.5-3
2026-05-19 23:47:15 install libtasn1-6:arm64 <none> 4.20.0-2
2026-05-19 23:47:15 status half-installed libtasn1-6:arm64 4.20.0-2
2026-05-19 23:47:15 status unpacked libtasn1-6:arm64 4.20.0-2
2026-05-19 23:47:15 install libgnutls30t64:arm64 <none> 3.8.9-3+deb13u4
2026-05-19 23:47:15 status half-installed libgnutls30t64:arm64 3.8.9-3+deb13u4
2026-05-19 23:47:15 status unpacked libgnutls30t64:arm64 3.8.9-3+deb13u4
2026-05-19 23:47:15 install libpsl5t64:arm64 <none> 0.21.2-1.1+b1
2026-05-19 23:47:15 status half-installed libpsl5t64:arm64 0.21.2-1.1+b1
2026-05-19 23:47:15 status unpacked libpsl5t64:arm64 0.21.2-1.1+b1
2026-05-19 23:47:15 install wget:arm64 <none> 1.25.0-2
2026-05-19 23:47:15 status half-installed wget:arm64 1.25.0-2
2026-05-19 23:47:15 status unpacked wget:arm64 1.25.0-2
2026-05-19 23:47:15 install xz-utils:arm64 <none> 5.8.1-1
2026-05-19 23:47:15 status half-installed xz-utils:arm64 5.8.1-1
2026-05-19 23:47:15 status unpacked xz-utils:arm64 5.8.1-1
2026-05-19 23:47:15 install libsframe1:arm64 <none> 2.44-3
2026-05-19 23:47:15 status half-installed libsframe1:arm64 2.44-3
2026-05-19 23:47:15 status unpacked libsframe1:arm64 2.44-3
2026-05-19 23:47:15 install binutils-common:arm64 <none> 2.44-3
2026-05-19 23:47:15 status half-installed binutils-common:arm64 2.44-3
2026-05-19 23:47:15 status unpacked binutils-common:arm64 2.44-3
2026-05-19 23:47:16 install libbinutils:arm64 <none> 2.44-3
2026-05-19 23:47:16 status half-installed libbinutils:arm64 2.44-3
2026-05-19 23:47:16 status unpacked libbinutils:arm64 2.44-3
2026-05-19 23:47:16 install libgprofng0:arm64 <none> 2.44-3
2026-05-19 23:47:16 status half-installed libgprofng0:arm64 2.44-3
2026-05-19 23:47:16 status unpacked libgprofng0:arm64 2.44-3
2026-05-19 23:47:16 install libctf-nobfd0:arm64 <none> 2.44-3
2026-05-19 23:47:16 status half-installed libctf-nobfd0:arm64 2.44-3
2026-05-19 23:47:16 status unpacked libctf-nobfd0:arm64 2.44-3
2026-05-19 23:47:16 install libctf0:arm64 <none> 2.44-3
2026-05-19 23:47:16 status half-installed libctf0:arm64 2.44-3
2026-05-19 23:47:16 status unpacked libctf0:arm64 2.44-3
2026-05-19 23:47:16 install libjansson4:arm64 <none> 2.14-2+b3
2026-05-19 23:47:16 status half-installed libjansson4:arm64 2.14-2+b3
2026-05-19 23:47:16 status unpacked libjansson4:arm64 2.14-2+b3
2026-05-19 23:47:16 install binutils-aarch64-linux-gnu:arm64 <none> 2.44-3
2026-05-19 23:47:16 status half-installed binutils-aarch64-linux-gnu:arm64 2.44-3
2026-05-19 23:47:16 status unpacked binutils-aarch64-linux-gnu:arm64 2.44-3
2026-05-19 23:47:16 install binutils:arm64 <none> 2.44-3
2026-05-19 23:47:16 status half-installed binutils:arm64 2.44-3
2026-05-19 23:47:16 status unpacked binutils:arm64 2.44-3
2026-05-19 23:47:16 install libisl23:arm64 <none> 0.27-1
2026-05-19 23:47:16 status half-installed libisl23:arm64 0.27-1
2026-05-19 23:47:16 status unpacked libisl23:arm64 0.27-1
2026-05-19 23:47:16 install libmpfr6:arm64 <none> 4.2.2-1
2026-05-19 23:47:16 status half-installed libmpfr6:arm64 4.2.2-1
2026-05-19 23:47:16 status unpacked libmpfr6:arm64 4.2.2-1
2026-05-19 23:47:16 install libmpc3:arm64 <none> 1.3.1-1+b3
2026-05-19 23:47:16 status half-installed libmpc3:arm64 1.3.1-1+b3
2026-05-19 23:47:16 status unpacked libmpc3:arm64 1.3.1-1+b3
2026-05-19 23:47:16 install cpp-14-aarch64-linux-gnu:arm64 <none> 14.2.0-19
2026-05-19 23:47:16 status half-installed cpp-14-aarch64-linux-gnu:arm64 14.2.0-19
2026-05-19 23:47:17 status unpacked cpp-14-aarch64-linux-gnu:arm64 14.2.0-19
2026-05-19 23:47:17 install cpp-14:arm64 <none> 14.2.0-19
2026-05-19 23:47:17 status half-installed cpp-14:arm64 14.2.0-19
2026-05-19 23:47:17 status unpacked cpp-14:arm64 14.2.0-19
2026-05-19 23:47:17 install cpp-aarch64-linux-gnu:arm64 <none> 4:14.2.0-1
2026-05-19 23:47:17 status half-installed cpp-aarch64-linux-gnu:arm64 4:14.2.0-1
2026-05-19 23:47:17 status unpacked cpp-aarch64-linux-gnu:arm64 4:14.2.0-1
2026-05-19 23:47:17 install cpp:arm64 <none> 4:14.2.0-1
2026-05-19 23:47:17 status half-installed cpp:arm64 4:14.2.0-1
2026-05-19 23:47:17 status unpacked cpp:arm64 4:14.2.0-1
2026-05-19 23:47:17 install libgpg-error0:arm64 <none> 1.51-4
2026-05-19 23:47:17 status half-installed libgpg-error0:arm64 1.51-4
2026-05-19 23:47:17 status unpacked libgpg-error0:arm64 1.51-4
2026-05-19 23:47:17 install libassuan9:arm64 <none> 3.0.2-2
2026-05-19 23:47:17 status half-installed libassuan9:arm64 3.0.2-2
2026-05-19 23:47:17 status unpacked libassuan9:arm64 3.0.2-2
2026-05-19 23:47:17 install libgcrypt20:arm64 <none> 1.11.0-7
2026-05-19 23:47:17 status half-installed libgcrypt20:arm64 1.11.0-7
2026-05-19 23:47:17 status unpacked libgcrypt20:arm64 1.11.0-7
2026-05-19 23:47:17 install libreadline8t64:arm64 <none> 8.2-6
2026-05-19 23:47:17 status half-installed libreadline8t64:arm64 8.2-6
2026-05-19 23:47:17 status unpacked libreadline8t64:arm64 8.2-6
2026-05-19 23:47:17 install gpgconf:arm64 <none> 2.4.7-21+deb13u1+b3
2026-05-19 23:47:17 status half-installed gpgconf:arm64 2.4.7-21+deb13u1+b3
2026-05-19 23:47:17 status unpacked gpgconf:arm64 2.4.7-21+deb13u1+b3
2026-05-19 23:47:17 install libksba8:arm64 <none> 1.6.7-2+b1
2026-05-19 23:47:17 status half-installed libksba8:arm64 1.6.7-2+b1
2026-05-19 23:47:17 status unpacked libksba8:arm64 1.6.7-2+b1
2026-05-19 23:47:17 install libsasl2-modules-db:arm64 <none> 2.1.28+dfsg1-9
2026-05-19 23:47:17 status half-installed libsasl2-modules-db:arm64 2.1.28+dfsg1-9
2026-05-19 23:47:17 status unpacked libsasl2-modules-db:arm64 2.1.28+dfsg1-9
2026-05-19 23:47:17 install libsasl2-2:arm64 <none> 2.1.28+dfsg1-9
